category,swaptions,streamcluster
runtime,55.77879023551941,55.78505802154541
l2miss,818803.6962025317,32893155.566878982
r1b2,22808.462025316454,540801.4140127389
l3miss,14742.26582278481,27034819.751592357
instructions,10063357522.310127,2025078730.910828
cycles,4771130295.1075945,3321726787.2038217
stall_cycles,587287348.8101265,2197875016.732484
intra_coh,418622.2911392405,3768891.9108280255
inter_coh,3236.259493670886,1348.783439490446
llc_occupancy,190925.39088607594,5791437.614713375
wall-cycles,733728809.5822785,682719317.2356688
