l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,llc_occupancy,wall-cycles
4318471,1113046,1940696,930266835,419360724,74243619,2056,162,0.00,386467419
4193472,559892,2883470,608398096,418155864,166734940,2476,396,0.00,420370449
3839458,374697,2852533,497726921,405372911,191699674,2172,361,0.00,420537696
3968742,282602,3023274,449080906,414928788,217777060,3294,456,0.00,420327969
3933807,226959,3107816,404998881,407474272,222018281,2805,417,0.00,420364518
4172002,190852,3375555,404971091,436854726,241417838,3349,549,0.00,420648909
4082274,164426,3368182,382345951,432158795,244287521,3007,559,0.00,420181893
8181667,383613,7161335,631902067,852331063,525029066,36535,774,0.00,420667080
12697739,400345,10782020,883251158,1299893879,827817984,716704,997,0.00,420660249
16573293,430770,13525380,1073158933,1643676829,1061166680,1587179,1030,0.00,420383868
19630378,447429,15781277,1232031665,1919523742,1244588261,2245100,1118,0.00,420701697
22307591,468840,17747504,1368683649,2163519776,1409289341,2796036,1138,0.00,420674733
24674558,493777,19453827,1487130802,2374761501,1551934768,3326356,1133,0.00,420965250
26645502,505184,20898504,1588125645,2554516782,1673094430,3746692,1214,0.00,420623592
28327333,515237,22139079,1674680082,2710657608,1778787079,4084538,1263,0.00,420990795
29894998,542980,23245913,1751534055,2848683617,1872290356,4424703,1284,0.00,420681135
31249892,557454,24215979,1819764108,2969892564,1953983539,4731799,1287,0.00,420846075
32450737,564049,25083797,1880195184,3078987271,2027847725,4992009,1290,0.00,420746316
33521949,576353,25858506,1934379970,3176311894,2093706586,5221031,1332,0.00,420820221
34404836,587503,26484216,1978039540,3254162409,2146117662,5405454,1310,0.00,420548640
35201793,593895,27060485,2018761786,3325557663,2193969458,5575386,1356,0.00,420821601
35847551,593540,27536855,2050951865,3379323692,2229295530,5703464,1413,0.00,420779562
36570921,596990,28069831,2087825648,3446814672,2275208941,5857371,1399,0.00,420786339
37263442,605394,28558383,2122937281,3509343943,2317558362,6011816,1410,0.00,420762414
37867735,608142,28992429,2153185672,3564439277,2354983767,6144871,1410,0.00,420944871
38463947,623213,29412282,2181952865,3613091808,2387363802,6279206,1429,0.00,420879903
39076252,642511,29814496,2209611739,3659880112,2419033357,6441904,1422,0.00,420663996
37836784,622730,28865093,2138505200,3543005718,2342065059,6244901,1396,0.00,8436206259
36667603,601642,27970773,2077509250,3436770428,2270497354,6032947,1378,0.00,420414531
35572326,581843,27136192,2018441473,3334350182,2201748248,5832013,1351,0.00,420351834
34521156,564750,26372215,1962566597,3239159719,2138245281,5644533,1324,0.00,420547305
33602845,549652,25720552,1916666373,3154188511,2080065878,5468449,1306,0.00,420714102
32705122,534552,25030658,1869569505,3070602396,2023571410,5303707,1279,0.00,420303288
32131710,529569,24617970,1839407326,3017055256,1987070777,5210269,1287,0.00,420738396
32783985,551203,25055355,1869956701,3071712459,2024469273,5377779,1300,0.00,420725580
33365954,565446,25454100,1897735852,3121625778,2058532197,5518834,1331,0.00,420926145
33930899,579090,25836275,1924405493,3169360264,2091149861,5651989,1342,0.00,420605085
34492921,601278,26223506,1951357635,3217029242,2123608773,5798622,1352,0.00,420811542
35016611,618176,26582768,1976564537,3261086113,2153424735,5924488,1343,0.00,420699747
35504594,631916,26917590,1999854471,3302110406,2181253541,6044737,1341,0.00,420706302
35862869,638409,27228517,2021497095,3339785739,2206861407,6078365,1350,0.00,420736284
36007302,634704,27529093,2042914239,3377328128,2232639741,5943950,1359,0.00,420863886
36147572,632238,27814788,2063838944,3413532330,2257552400,5815904,1377,0.00,420687897
36285670,628614,28093396,2083533543,3448299878,2281652839,5693281,1374,0.00,420689943
36407826,625520,28350350,2102033844,3480237245,2303696729,5576899,1376,0.00,420769467
36515274,622234,28577710,2119422877,3509842165,2324118568,5465075,1397,0.00,420702096
36604709,618852,28794966,2134704074,3536656603,2342565671,5357533,1405,0.00,420755859
36719116,616169,29026497,2150909482,3565046267,2362200992,5255056,1400,0.00,420806046
36826918,613518,29245921,2166557840,3592594132,2381256362,5156917,1396,0.00,420853569
36934766,612703,29457431,2181762698,3619068698,2399538228,5062407,1395,0.00,421005765
37029439,609570,29656472,2195898206,3643842073,2416711493,4971547,1406,0.00,420638253
37110225,606922,29830802,2208162658,3666152597,2432368716,4884159,1416,0.00,420666069
37179889,604801,30002124,2220213238,3683352087,2443419158,4802545,1428,0.00,420612306
37071096,600434,29990766,2218598025,3680874386,2442195991,4720338,1431,0.00,8710139922
36487738,590311,29521070,2186296989,3624775565,2404724934,4634692,1426,546034.04,420789215
35918911,580613,29069785,2155145842,3568018749,2365987740,4551965,1410,1066422.86,420322033
35355978,572125,28638684,2124014162,3513573789,2329234787,4472472,1410,1568552.42,420707779
34808309,562944,28203445,2093887581,3461132553,2293836063,4395407,1395,2053367.17,420509054
34276825,553468,27775190,2064833213,3410349311,2259744731,4320952,1379,2521747.53,420517377
33899276,545769,27491675,2045075651,3375046672,2236021755,4250802,1385,2974515.20,420856716
34030864,544978,27688430,2058897725,3399442517,2252862504,4188727,1389,3412438.03,420735888
34136782,544064,27862781,2071441186,3421346206,2268026936,4128566,1417,3836234.32,421007739
34261486,544853,28050744,2084870553,3445404188,2284829111,4070058,1424,4246576.76,420857379
34385626,548140,28235129,2098020961,3468780445,2300965649,4013006,1427,4644096.00,420547899
34517958,549696,28411262,2110564267,3491217782,2316567442,3972242,1424,5029383.88,420861228
34664097,549399,28584012,2122870867,3512133013,2330794671,3948476,1424,5402996.36,420687294
34768063,548426,28713188,2133260083,3529071016,2342423146,3923685,1438,5765456.24,420993243
34906960,547636,28879306,2144876056,3549223954,2356264683,3901572,1444,6117255.53,420691719
35039113,546839,29038038,2156242272,3569173162,2370025127,3879805,1440,6458857.74,421000488
35165767,546241,29190633,2167120151,3588139110,2383121663,3859106,1439,6790699.89,420739956
35292583,545959,29339541,2177816311,3606842597,2396002602,3839536,1430,7113194.37,420834909
35414782,545439,29482446,2187931251,3623564581,2407198191,3818325,1431,7426730.67,420687831
35531751,545081,29621872,2198021213,3641153485,2419384932,3799133,1429,7731676.93,420707691
35657618,544719,29765976,2207770226,3656264852,2429254540,3779830,1425,8028381.41,420849768
35774664,544121,29901555,2217010607,3670441667,2438395724,3760106,1422,8317173.76,420765705
35885313,544023,30034927,2226594898,3686764212,2449561015,3743288,1422,8598366.32,420938682
35989396,543732,30157954,2235595740,3702578016,2460530867,3726457,1438,8872255.17,420670263
36093377,543308,30283004,2244530765,3718360459,2471450113,3709814,1445,9139121.23,420744297
36197095,547662,30406399,2253281344,3733654926,2481964224,3693455,1450,9399231.19,420691917
36120974,553535,30381479,2251482934,3731008410,2480347661,3651218,1447,9281740.80,8705626794
35718405,546843,30045425,2227350662,3690183125,2453167239,3606282,1449,9167151.41,420429690
35332588,541647,29721608,2205285093,3651451882,2426959937,3562378,1438,9055356.88,420334437
34962792,535774,29422909,2184159861,3614293574,2401786053,3519736,1433,8946256.19,420466893
34595668,529984,29121548,2162090463,3575821424,2375747236,3477913,1421,8839753.14,420471162
34233116,524822,28821393,2141141606,3539501088,2351234524,3437295,1408,8735756.05,420474789
33985005,521016,28631941,2127545145,3515778526,2335347723,3398977,1415,8634177.49,420728106
34074752,521143,28752949,2136265282,3531153254,2346032896,3364932,1420,8534934.07,420689532
34148236,521152,28863646,2143975781,3544798407,2355499795,3331464,1441,8437946.18,420716301
34240420,521390,28988468,2152779467,3558676728,2364679348,3299253,1439,8343137.80,420710400
34328110,521366,29109953,2161363755,3573894282,2375205757,3267260,1436,8250436.27,420783117
34418130,521888,29229139,2169754168,3587714552,2384511270,3236445,1435,8159772.13,420800127
34498966,521999,29337938,2177289977,3599855434,2392558994,3206381,1431,8071078.96,420913803
34587179,522179,29450209,2185041594,3611766038,2400263554,3177222,1433,7984293.16,420684195
34665401,522341,29559262,2192862391,3625883982,2410119484,3148018,1435,7899353.87,420743913
34740091,522242,29664536,2200345128,3639571413,2419720317,3119270,1436,7816202.78,420824931
34814882,522260,29768885,2207739439,3652775271,2428892800,3091305,1434,7734784.00,420704934
34854344,522156,29839443,2212922553,3661883973,2435230279,3063597,1440,7655043.96,420688953
34927768,522030,29939476,2220154095,3674059461,2443475185,3036950,1441,7576931.27,420724938
34999764,521677,30039340,2227244007,3686632803,2452174544,3010570,1453,7500396.61,420695088
35072087,521455,30139018,2234213969,3698728537,2460444994,2985074,1451,7425392.64,420698682
35139512,521026,30233945,2240852168,3710598010,2468677660,2959809,1449,7351873.90,420710625
34883440,516768,30015304,2227975015,3684728921,2450150491,2931427,1441,7279796.71,420555213
34606150,512040,29775530,2218413421,3657134820,2428732182,2903102,1434,7209119.07,420650811
