l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,llc_occupancy,wall-cycles
603316,1591863,98300,1367180676,399189193,17578064,4804,150,0.00,389880735
595397,1636862,109544,1403591534,409680795,18407973,3250,160,0.00,420193413
604040,1674039,141037,1423641640,412760788,16864962,2367,213,0.00,420778113
642388,1703401,166090,1430998638,414119455,16927044,1989,232,0.00,420073572
622838,1715432,182826,1436817137,415084762,16761694,1731,237,0.00,420277080
610078,1717277,186623,1433676037,415011039,17292220,1726,227,0.00,420338148
609846,1715278,178251,1433621791,414170432,16874477,1906,254,0.00,420713293
626605,1719545,173480,1436766045,414738252,17134702,1943,245,0.00,420115298
611386,1722370,168007,1439189971,415175099,16848017,1983,249,0.00,420505869
605045,1728302,165658,1440085392,415554913,17059992,1997,266,0.00,420384000
599763,1726492,161577,1441609315,415596144,16677831,2062,279,0.00,420655023
607967,1727438,159776,1443330032,415776918,16788180,2065,289,0.00,420198198
603958,1726641,157037,1444738346,416012147,16476309,2071,289,0.00,420659379
608763,1728479,156110,1442805240,415589842,16547808,2087,302,0.00,420139818
604961,1728263,153872,1443914370,415803357,16304664,2086,304,0.00,420426858
602261,1728251,153158,1443052138,415410868,16060530,2145,314,0.00,420605307
586794,1694893,149026,1438429206,415210204,15981195,2178,318,0.00,420513015
571610,1664487,145220,1436056852,415419610,16017169,2193,315,0.00,420144825
558511,1637587,141906,1433859584,415588914,15976514,2188,314,0.00,420342960
543035,1613041,138903,1431922006,415757128,15932295,2198,317,0.00,420566778
531973,1590807,135979,1429650884,415754798,15887414,2234,317,0.00,420298872
522107,1570868,133478,1428092522,415900192,15853461,2233,322,0.00,420692483
513042,1553563,131225,1426616376,416027936,15828615,2241,321,0.00,420310219
502164,1538606,128931,1425097202,416052138,15808199,2241,324,0.00,420531342
494795,1527060,126938,1423880168,416172529,15786902,2240,325,0.00,420345423
488017,1509800,125003,1419371614,415334032,15737037,2290,329,0.00,420368511
481749,1496333,123243,1418683400,415464536,15708171,2291,330,0.00,420250134
475722,1484124,121742,1417651468,415588008,15682217,2300,325,0.00,420341250
467959,1473698,120307,1416797568,415687366,15716265,2299,328,0.00,420360486
463049,1464697,118844,1416254126,415796479,15647980,2305,327,0.00,420464274
456097,1455513,117592,1415003504,415786817,15678133,2313,326,0.00,420410592
451740,1444874,116392,1413844445,415726091,15694068,2308,331,0.00,420317271
449529,1436780,115327,1413262092,415820769,15677657,2309,330,0.00,420323631
443771,1428858,114310,1412645698,415888434,15661683,2314,328,0.00,420330414
440179,1421395,113351,1412156130,415976581,15642601,2316,324,0.00,420369270
436658,1414956,112483,1411462384,416006114,15628265,2326,326,0.00,420600096
431606,1408953,111515,1410975169,416029960,15620027,2333,327,0.00,420207480
428619,1404127,110665,1410388391,416062506,15650553,2333,322,0.00,420324438
425872,1399733,109824,1409565902,416054730,15639215,2338,324,0.00,420464724
423203,1395529,109042,1409107077,416105609,15673499,2340,324,0.00,420356061
