l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,llc_occupancy,wall-cycles
232381,1022986,92218,1048028215,419438177,54677709,407,217,0.00,414236544
231168,1014372,92998,1051444410,420042563,54649292,477,204,0.00,420663684
273172,1017789,90997,1053173791,419910918,54237837,476,215,0.00,420255642
294202,1024145,92180,1051913216,419844786,53733394,470,218,0.00,420701643
281346,1023770,93928,1051229117,419798659,53916722,459,213,0.00,420198429
272820,1020233,94320,1051350390,419763297,54051807,462,223,0.00,420656577
284777,1019944,94060,1052076301,419746521,53982083,452,225,0.00,420157005
293801,1022309,94471,1051568117,419720632,53766362,444,228,0.00,420434607
286665,1020725,95572,1051156273,419700229,53873347,438,245,0.00,420282951
280779,1018573,95856,1051177802,419678068,53971816,440,241,0.00,420314619
287554,1019570,95886,1051582702,419659379,53943371,451,253,0.00,420392142
293436,1023152,96293,1051258783,419647326,53805276,458,254,0.00,420336933
288482,1025125,96941,1050971261,419636527,53882359,452,247,0.00,420727983
284186,1022829,97132,1051017956,419634612,53948846,453,260,0.00,420092904
288978,1022276,97125,1051344889,419631531,53939162,455,266,0.00,420418011
293424,1024017,97402,1051184422,419626698,53831376,459,265,0.00,420470592
290902,1025338,97950,1051015873,419626376,53858160,456,263,0.00,420351756
287433,1023361,98305,1050931270,419623158,53908684,454,270,0.00,420401733
289091,1022419,98327,1051194989,419619361,53940158,454,275,0.00,420697782
292740,1028144,98347,1051101800,419618089,53866923,454,278,0.00,420126888
291035,1025375,98333,1048608056,419347269,54027212,508,278,0.00,420786236
288135,1022400,98278,1048590860,419230423,54050723,500,278,0.00,420235174
291212,1020988,98002,1048921830,419246249,54027611,496,278,0.00,420223065
293821,1019211,98009,1048874118,419257945,53949936,492,282,0.00,420666500
291093,1016309,98224,1048826452,419271899,53986874,486,282,0.00,420137842
288542,1012890,98201,1048931362,419279405,54015485,482,281,0.00,420671544
291015,1010925,98000,1049202440,419294419,53998985,477,281,0.00,420563514
293258,1009420,98039,1049151212,419306083,53934283,473,280,0.00,420124161
290783,1007537,98260,1049109451,419314388,53961609,468,274,0.00,420484971
288465,1005245,98296,1049215130,419324918,53985409,465,268,0.00,420626751
290666,1003333,98136,1049449814,419334440,53968113,461,266,0.00,420465393
292600,1002272,98179,1049411108,419343103,53912263,458,264,0.00,420163737
290521,1000926,98386,1049378630,419349839,53935822,455,260,0.00,420610905
288508,999395,98430,1049468794,419358221,53955560,451,256,0.00,420249888
290357,997469,98288,1049667062,419365438,53942478,448,254,0.00,420578421
292092,997079,98307,1049615953,419369963,53893832,446,251,0.00,420356010
290254,997434,98429,1049555205,419376806,53923418,443,245,0.00,420370410
288487,996837,98430,1049584514,419377461,53950175,442,252,0.00,420361308
290185,996705,98291,1049748901,419381276,53944100,439,253,0.00,420611721
291754,996999,98138,1049695113,419385338,53900079,436,252,0.00,420359430
290119,996502,98239,1049630542,419387182,53925524,434,248,0.00,420450792
288537,995025,98228,1049682800,419392742,53944202,432,246,0.00,420566142
290053,994056,97905,1049855341,419398910,53930861,430,247,0.00,420348816
291452,993378,97718,1049840780,419404475,53885779,428,245,0.00,420491289
289956,992655,97604,1049809470,419408273,53900879,425,241,0.00,420367965
288601,992029,97413,1049715487,419359006,53913002,424,240,0.00,420638349
289960,990923,97138,1049867252,419364977,53901150,422,239,0.00,420459144
291286,990157,97005,1049840254,419369273,53862631,420,243,0.00,420174159
289909,989515,96979,1049816990,419373363,53874884,418,242,0.00,420350184
288594,988546,96824,1049862263,419375931,53888527,416,240,0.00,420317250
289878,987752,96606,1049985862,419376757,53878979,414,240,0.00,420410292
291080,988520,96451,1049937562,419378727,53846210,413,239,0.00,420347439
289777,989122,96374,1049884313,419380989,53866688,411,239,0.00,420587337
288542,989357,96188,1049914884,419385873,53886811,410,238,0.00,420539769
289718,989877,96112,1050021540,419389846,53885366,408,237,0.00,420138036
290868,989950,96061,1049966682,419389299,53856044,407,237,0.00,420325767
289672,989336,96039,1049936585,419390617,53867896,405,236,0.00,420324828
288534,988498,95919,1049971611,419392990,53881527,403,239,0.00,420632430
289609,988036,95748,1050085069,419397367,53873550,402,238,0.00,420498927
290693,987801,95753,1050062102,419400701,53843796,401,237,0.00,420146016
289591,987061,95943,1050023555,419402308,53857972,401,238,0.00,420661147
288504,986596,96017,1050043970,419404602,53874153,401,238,0.00,420248897
289498,986549,95997,1050131805,419408177,53873960,399,238,0.00,420482772
290553,987058,96074,1050081611,419409793,53850758,398,236,0.00,420319455
289514,987276,96206,1050034555,419411866,53868603,397,235,0.00,420693913
288511,987007,96243,1050047340,419413655,53887125,396,236,0.00,420347096
289465,987122,96209,1050131597,419417481,53887299,395,233,0.00,420499692
290473,987600,96282,1050083906,419419390,53866887,395,234,0.00,420254004
289504,987522,96423,1050041335,419419940,53881831,394,235,0.00,420407001
