l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,llc_occupancy,wall-cycles
9266670,3165792,7222711,1401306613,1060570241,515341542,32297,395,29786112.00,416210740
14959334,2441410,12398756,1446814922,1648624433,986249530,88845,552,27033600.00,420572910
17557090,1815466,15135235,1481444494,1919506409,1193331000,105833,618,26116096.00,420415236
19147569,1741547,16437801,1550862497,2068134360,1288253515,289702,782,25657344.00,420478884
20353044,1448265,17100106,1616911848,2199458357,1380322897,770153,1049,25382092.80,420655098
21076436,1269956,17293669,1654637223,2265578326,1424716882,1324627,1186,25206784.00,420693891
21859459,1146843,17686338,1710523185,2344166694,1471794217,1787255,1312,25334345.14,420723882
22240598,1046057,17831778,1728225776,2378763821,1493842028,2058649,1464,25430016.00,420520296
22631342,972017,18016527,1758775982,2422588006,1520607992,2312235,1548,25504426.67,420984324
22851133,906357,18060470,1773210003,2445333689,1535228970,2492431,1598,25563955.20,420588203
23166640,854919,18213833,1796033377,2476730066,1555075975,2636322,1724,25934382.55,420625861
23436175,820029,18350374,1813907359,2494271840,1562669639,2786162,1778,25853952.00,420742326
23590640,782013,18395985,1820785675,2510400794,1573438650,2904222,1761,25785895.38,420508053
23656677,753691,18394148,1825523494,2520586621,1581303471,2992830,1799,25727561.14,420950976
23843430,724850,18479422,1839090537,2539402095,1593627970,3099066,1958,25677004.80,420490764
23877690,699056,18466066,1841146003,2544927599,1597839004,3155778,1987,25681920.00,420803670
23984765,679093,18566368,1848055212,2557854231,1606068203,3195061,1947,25738300.24,420735657
24044051,664078,18556570,1848974342,2561613959,1609346190,3260346,1887,25788416.00,420576345
24199354,650593,18610422,1857141799,2572637727,1615997227,3333991,1891,25833256.42,420738273
24241599,635325,18587079,1858195079,2576453955,1617743766,3376863,1865,25873612.80,420462195
24337940,625190,18663763,1863416231,2584289827,1623806620,3429376,1944,26073965.71,420881094
24349544,611666,18631817,1863716598,2587176763,1626117348,3471703,1917,26189079.27,420750324
24421817,604623,18693368,1869307424,2594680491,1630794113,3505555,1922,26294182.96,420465711
24439936,591417,18691365,1871135969,2600379460,1634728817,3533009,1912,26390528.00,420389250
24496268,585188,18721578,1873292480,2602955813,1636718783,3570585,1864,26479165.44,420876312
24542830,575637,18762550,1875391703,2608422660,1640202346,3591502,1903,26559094.15,420833826
24552907,569369,18749643,1870804763,2604979816,1639539883,3612254,1908,26523875.56,420102813
24579739,566900,18769992,1875828959,2610496516,1641863942,3634260,1902,26491172.57,420730989
24626060,559008,18800579,1877104754,2614825057,1645763583,3656200,1918,26460724.97,420997968
24599226,550760,18784906,1877021225,2615411564,1646279244,3671353,1936,26432307.20,420675804
24672085,544012,18810517,1880339963,2619890816,1649101865,3700257,1974,26532566.71,420582819
24684545,536747,18809021,1879758428,2620712753,1649567210,3711838,1987,26588160.00,420604149
24742312,533215,18838834,1883641107,2626099244,1653144625,3738044,1985,26640384.00,420616653
24738892,527059,18841377,1883119678,2626749978,1653659806,3746226,1972,26689536.00,420605814
24797705,525095,18862761,1886259122,2629949342,1655651783,3769980,1977,26735879.31,420909279
24794056,519360,18854183,1884996857,2629474406,1655440084,3781727,1999,26779648.00,420429753
24851774,514813,18893603,1888584521,2634999831,1658884204,3801288,2004,26821050.81,420760758
24836848,511387,18886473,1888547580,2635591108,1658472878,3804676,1980,26730927.16,420627135
24867525,509286,18886547,1890350445,2636574799,1659793073,3814764,1966,26664329.85,420746889
24916226,509071,18899690,1891485569,2638960173,1661187622,3849431,1972,26561740.80,420650109
24929988,508857,18904315,1891613051,2639206276,1661385887,3870512,1988,26464156.10,420963720
24984822,509853,18914577,1892406616,2640892467,1662424851,3898165,1999,26371218.29,420965133
24998791,508074,18911623,1890921120,2640560942,1662598841,3913632,2013,26282603.16,420251439
25058866,513163,18939594,1894472571,2644306358,1664845523,3947623,2007,26198016.00,420660111
25073070,512895,18931408,1893218516,2643409164,1664610171,3969807,2012,26117188.27,420440841
25127164,515349,18961081,1895687629,2646096779,1666261522,3995940,2007,26039874.78,420708855
25134651,513757,18955641,1895506486,2646057593,1666082479,4010525,2015,25965851.23,420681921
25190440,515087,18984134,1897671489,2648946872,1668272750,4032192,2007,25894912.00,420546603
25191274,515379,18972388,1896916837,2648249834,1668052808,4044258,1978,25826868.24,420535479
25244906,516368,18997002,1899282520,2651262142,1669353446,4069516,1991,25883443.20,420440487
25267050,518986,18999694,1900283870,2651549545,1669735686,4085438,1985,25819256.47,420765918
25305592,521174,19014941,1901138632,2653018877,1670692093,4107817,2016,25757538.46,420540441
25333202,521394,19019230,1902178769,2654152445,1671364564,4124502,2005,25698149.43,420789165
25346450,519957,19020138,1902348382,2655208658,1671884568,4138467,2008,25640960.00,420439752
25357696,520456,19014518,1903534741,2655671381,1672094718,4151415,2026,25647513.60,420688761
25370627,520679,18996054,1901653433,2657932090,1675655816,4171111,2024,25700352.00,420396249
25364202,519499,18998092,1901313688,2657282951,1674894648,4178534,2038,25751336.42,420604089
25291394,516028,18980788,1900743575,2656911826,1675288070,4128321,2029,25800562.76,420487845
25229359,512896,18994665,1902455538,2658719833,1676596008,4066597,2019,25848120.41,420661806
25152146,509208,18989659,1901399196,2658451160,1676532589,4005863,2024,25816268.80,420488376
25092879,505541,18993672,1903178596,2659975931,1677819301,3947836,2024,25747590.30,420719229
25038975,502269,18992970,1902442795,2659309391,1677575183,3891899,2031,25681127.23,420729870
24997189,498795,19020032,1904725695,2661709729,1678938369,3837572,2021,25616774.10,420527787
24926308,496180,19013887,1905159409,2661414930,1678820118,3784868,2016,25554432.00,420675234
24861079,492813,19015599,1904886783,2661085395,1678741429,3733534,2030,25603654.89,420692028
24803995,489124,19018197,1905260595,2661630462,1678822691,3684267,2032,25602234.18,420401721
24755328,486451,19027013,1906566440,2662933177,1679990514,3636065,2046,25600855.88,420673425
24692862,483199,19027103,1906436854,2662530876,1679991011,3589475,2058,25599518.12,420617130
24648311,480654,19045706,1907857570,2664474283,1681342598,3544304,2046,25598219.13,420754539
24586586,478028,19036193,1907046258,2663444705,1680888947,3499744,2059,25549209.60,420787284
24538936,475067,19054808,1907486287,2664709369,1681846096,3456966,2057,25509888.00,420584412
24492648,472629,19060451,1908621274,2665455954,1682430099,3415235,2077,25471658.67,420898617
24439828,469783,19058749,1908626089,2665574336,1682745329,3374797,2080,25434476.71,420583991
24403992,468171,19070313,1910305679,2667188005,1683780283,3335778,2067,25398299.68,420636979
24366100,466532,19072082,1909718126,2666986744,1683692684,3296892,2062,25392578.56,420364587
24329117,464399,19072700,1911065626,2668168774,1684657207,3259633,2053,25352730.95,421014684
24275821,461786,19065194,1910447358,2667882355,1684239008,3222815,2048,25313918.34,420281544
24245575,460223,19072941,1911647484,2668849894,1685216358,3187745,2047,25276100.92,420944211
