l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,llc_occupancy,wall-cycles
351738,1020215,68597,1047906274,419416947,52251336,556,179,0.00,416551665
286591,1019522,69242,1049555728,420010186,53334769,544,192,0.00,420447672
265505,1011051,67215,1050700787,419894144,53707585,545,335,0.00,420635789
286498,1012282,66240,1052206235,419816569,53597298,540,297,0.00,420312982
301622,1013690,66731,1051609412,419776991,53256840,536,306,0.00,420567387
288557,1011909,67281,1051024449,419748198,53468213,558,317,0.00,420466907
279271,1009405,66693,1051262074,419733046,53617253,552,334,0.00,420233059
288340,1009307,66354,1051957583,419713488,53570764,544,326,0.00,420652614
296384,1010330,66595,1051619225,419701760,53379779,543,313,0.00,420258513
289083,1009756,66843,1051331607,419694578,53481622,551,327,0.00,420515601
283055,1008163,66505,1050884701,419465242,53549690,556,347,0.00,420375633
288875,1008136,66225,1051409957,419476276,53516281,553,340,0.00,420387438
294330,1009243,66438,1051204386,419477289,53389350,549,338,0.00,420328707
289120,1009236,66584,1050997445,419481857,53457394,549,332,0.00,420410418
284620,1008011,66378,1051126955,419488970,53524964,550,328,0.00,420342768
289100,1008158,66197,1051482349,419488999,53507449,551,335,0.00,420343926
293277,1009140,66349,1051320241,419489972,53410583,548,331,0.00,420355254
289381,1008727,66456,1051160966,419493152,53463249,548,331,0.00,420619512
285804,1007475,66308,1051258044,419499183,53514622,551,327,0.00,420169908
289302,1007352,66194,1051539628,419499464,53494357,549,323,0.00,420340290
292840,1008192,66344,1051410468,419501698,53418980,552,317,0.00,420442224
289602,1009387,66485,1051249016,419500313,53467488,551,320,0.00,420339420
286628,1010065,66317,1051300720,419502387,53517985,552,321,0.00,420369120
289544,1011332,66169,1051525698,419502163,53506756,552,318,0.00,420378858
292430,1013320,66274,1051410359,419504064,53441929,551,312,0.00,420340845
290277,1014385,66369,1051270227,419503872,53469303,553,312,0.00,420365964
287824,1014738,66321,1051190419,419504632,53511796,553,311,0.00,420355794
288032,1014190,66148,1051394166,419504325,53544926,552,309,0.00,420347571
290559,1014886,66111,1051434754,419503700,53487001,552,308,0.00,420341394
290470,1015096,66150,1051333756,419504330,53474378,553,305,0.00,420336561
288291,1014632,66112,1051234493,419503532,53509461,553,303,0.00,420367299
288399,1014835,66012,1051405703,419503643,53543572,552,304,0.00,420486621
290557,1016244,65935,1051454043,419506018,53493984,550,303,0.00,420361746
290471,1017074,65947,1051343386,419504981,53486261,551,303,0.00,420356067
288545,1017619,65883,1051240198,419506110,53522535,551,301,0.00,420653194
286748,1016575,65783,1051112124,419439653,53539387,586,300,0.00,420108710
288839,1016134,65700,1051264250,419442624,53528684,584,304,0.00,420430986
290711,1017545,65774,1051169045,419443291,53485315,585,304,0.00,420353343
289005,1018408,65793,1051077747,419446358,53519396,583,306,0.00,420575001
287333,1019356,65685,1051117806,419450576,53551357,583,301,0.00,420279414
289164,1020144,65569,1051238349,419450260,53545441,581,299,0.00,420650613
290735,1021367,65617,1051150805,419453662,53507688,580,298,0.00,420309834
289161,1022277,65635,1051065220,419457793,53540455,580,299,0.00,420654543
287661,1022910,65540,1051093548,419461841,53567890,578,295,0.00,420363798
289306,1023843,65441,1051221589,419465224,53561656,576,294,0.00,420609537
290809,1023853,65504,1051160935,419467206,53523928,576,294,0.00,420225951
289378,1023106,65557,1051106046,419470489,53546664,576,295,0.00,420435177
288019,1022311,65508,1051146805,419472612,53565150,578,292,0.00,420344955
289517,1021418,65433,1051265529,419472701,53554640,577,291,0.00,420325293
290823,1021149,65509,1051212900,419474074,53519347,576,292,0.00,420342348
289484,1020460,65559,1051164900,419474693,53537874,576,290,0.00,420440148
288211,1020122,65500,1051201555,419476289,53557186,575,292,0.00,420462714
289565,1020339,65421,1051304412,419477159,53549786,574,290,0.00,420635589
290724,1021125,65452,1051245687,419479326,53519194,574,290,0.00,420400770
289484,1021327,65487,1051192924,419482160,53541426,573,289,0.00,420394587
288342,1021320,65410,1051217173,419482741,53559614,574,286,0.00,420601173
289638,1021774,65353,1051319007,419485551,53554832,573,286,0.00,420214701
290725,1022515,65389,1051250049,419486471,53527316,573,287,0.00,420667074
289567,1022980,65405,1051198900,419488237,53548481,573,286,0.00,420140928
288475,1022977,65333,1051208079,419488793,53565715,572,284,0.00,420376896
289743,1022471,65280,1051204703,419452459,53553510,593,285,0.00,420660006
290734,1022028,65326,1051167066,419455949,53525090,591,288,0.00,420227892
289670,1021340,65371,1051129082,419457291,53539743,592,287,0.00,420681494
288646,1020636,65333,1051168897,419459917,53551579,591,285,0.00,420416129
289795,1020130,65291,1051266133,419462708,53548696,592,286,0.00,420414218
290737,1020321,65313,1051260595,419464518,53521913,591,285,0.00,420252993
290686,1020110,65351,1051228078,419465208,53516318,590,284,0.00,420367164
289669,1019276,65346,1051201617,419465925,53526797,589,284,0.00,420371685
289693,1018398,65296,1051286782,419467301,53537617,588,284,0.00,420507042
290557,1018590,65285,1051297165,419468896,53514407,589,283,0.00,420601529
290523,1018699,65314,1051256320,419468525,53511036,589,281,0.00,420120451
289603,1018306,65323,1051224451,419468526,53522143,588,281,0.00,420345027
289637,1017608,65283,1051305416,419470014,53533994,586,284,0.00,420693444
290466,1017403,65270,1051331845,419472310,53510489,586,285,0.00,420205353
290462,1017176,65309,1051296756,419473646,53506154,585,285,0.00,420677954
289622,1017244,65293,1051261059,419475204,53519176,585,285,0.00,420448648
289649,1017352,65222,1051336577,419477395,53533036,583,287,0.00,420496839
290457,1017628,65199,1051347483,419478846,53513471,583,289,0.00,420157224
290440,1017964,65209,1051305119,419479697,53511345,582,289,0.00,420565035
289587,1018025,65192,1051265251,419481447,53525713,581,288,0.00,420300708
289614,1017515,65148,1051331786,419480716,53536117,581,289,0.00,420320961
290372,1017228,65148,1051348575,419481404,53514746,582,290,0.00,420347274
290406,1017049,65200,1051321286,419482398,53510548,581,291,0.00,420657702
289604,1016310,65195,1051297963,419483800,53519475,580,292,0.00,420212661
289522,1015552,65156,1051364340,419484601,53528578,580,291,0.00,420596574
406812,1286114,100195,1046578741,419456611,54680489,579,297,0.00,420164253
479818,1381909,145134,1089096689,449530750,61787918,696,314,0.00,420693639
537436,1397328,201748,1160450691,496892071,72065748,881,337,0.00,420526683
593612,1412105,257162,1230263421,543190931,82098781,1052,367,0.00,420585081
648458,1426468,311294,1298542077,588471368,91909485,1220,387,0.00,420620295
702229,1440678,364262,1365295914,632743617,101484696,1386,413,30787.52,420673230
754715,1454660,416076,1430625339,676063012,110871783,1545,429,57165.91,420598038
806130,1468293,466775,1494524883,718446399,120060632,1711,457,82977.03,420600306
856444,1482365,516516,1557015990,759926427,129067405,1860,481,108238.98,420606603
888039,1486975,548386,1593989487,785372088,134732027,1969,497,132969.09,420636285
915524,1490944,576316,1625558622,807373364,139633037,2082,509,343552.00,420666219
937418,1491087,598792,1648791144,824443624,143500572,2168,516,415511.75,420413211
962680,1493069,624896,1678942486,845133308,148148478,2275,527,486002.94,420694932
983605,1493414,646649,1702188379,861777567,151918026,2343,528,555070.06,420252339
1005826,1494534,669545,1727088333,879433390,155884337,2431,537,622755.84,420872196
1033560,1498444,697368,1759520954,901756894,160854887,2531,550,827797.54,420832020
1052936,1498551,717220,1780481938,917095646,164335587,2603,557,878953.41,420285120
1078091,1503192,743066,1810106033,937360117,168849819,2722,570,929115.96,420666966
1098183,1503912,763407,1832575248,953484548,172450792,2794,576,978313.85,420559956
1120736,1505974,786912,1858490948,971505782,176539835,2891,584,1026574.63,420914604
1139139,1506227,805925,1879314658,986366583,179885803,2952,592,1073924.83,420483189
1161023,1508352,828071,1904432825,1003961943,183799512,3044,598,1120389.98,420408768
1179361,1509913,847327,1924979581,1018434993,187092024,3106,604,1165994.67,420604926
1197749,1511553,866028,1945244325,1033181087,190465898,3186,609,1210762.57,420498087
1216833,1514063,885838,1967351897,1048418088,193861347,3256,617,1254716.51,420584790
1235183,1515690,904612,1987944773,1063013686,197158687,3390,630,1297878.49,420585051
1255616,1518076,925397,2011433127,1079359945,200806339,3487,640,1340269.71,420568686
1272730,1519448,942934,2030224907,1092813938,203864016,3588,647,1381910.65,420786660
1288782,1519213,959473,2048189615,1105575133,206739344,3682,653,1422821.05,420595788
1305325,1519975,976531,2066770609,1118753613,209692885,3764,662,1588678.12,420971709
1323524,1521307,995179,2087496203,1133328724,212983343,3864,673,1634727.72,420491913
1338778,1522756,1010626,2103731430,1145217580,215644675,3943,678,1679990.15,420615987
1354795,1524559,1027154,2121730525,1157915565,218553138,4036,688,1724485.42,420272100
1369644,1525263,1042546,2138848877,1169877869,221231615,4114,692,1768232.87,420794742
1386407,1527702,1059027,2157309058,1183223365,224250184,4214,696,1873510.40,420779769
1400120,1529041,1073227,2172571761,1194122913,226722971,4284,699,2030668.17,420516057
1417126,1532118,1091066,2192515330,1207733900,229782020,4381,709,2185249.57,420563757
1430641,1533418,1104839,2207335308,1218513436,232236921,4444,711,2337317.46,420431031
1445324,1535598,1120004,2224028837,1230266339,234882735,4525,716,2486932.65,420547998
1459907,1537563,1135138,2240528446,1241857467,237513946,4585,720,2634153.98,420642324
1475805,1539789,1150788,2258711286,1254615375,240360226,4671,727,2754072.38,420630831
