l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,llc_occupancy,wall-cycles
5136616,41522769,2390920,743928138,406963144,88887976,1058,367,0.00,405200024
5176436,41831203,2414994,754688682,412791390,89556474,1073,284,0.00,420270902
4155356,30533910,1775774,766360779,414817241,92161995,1475,196,0.00,420425738
3206201,23149558,1361728,777286872,415851506,89542556,1342,164,0.00,420219077
2624350,18719170,1115385,783540019,416318208,88158961,1242,136,0.00,420552832
2224328,15756978,950441,783634681,414630501,87097602,1348,129,0.00,420225220
1939767,13642975,824251,787617457,415203138,86524656,1288,139,0.00,420354334
1726402,12057908,729273,791649089,415669215,86060655,1254,153,0.00,420327632
1574717,10824647,655384,794814002,416034762,85563722,1215,171,0.00,420344601
1453665,9839637,597036,796325712,416166987,85032224,1182,178,0.00,420385617
1348678,9033390,549121,797433125,416195065,84682842,1148,181,0.00,420376542
1255595,8358405,509224,798048331,416063502,84461580,1132,198,0.00,420319290
1176432,7787088,475070,797753373,415552831,84210257,1123,212,0.00,420409916
1109008,7297046,445833,798310303,415514036,84059438,1106,220,0.00,420336967
1054696,6872870,420351,799505355,415623116,83957146,1101,224,0.00,420331665
1011954,6501127,398169,798282165,414685947,83524585,1157,232,0.00,420469684
973669,6175595,378917,799059501,414883067,83335597,1127,237,0.00,420282458
932215,5885612,361723,799748038,415103440,83328051,1106,238,0.00,420229494
895375,5626317,346236,800467049,415306216,83299887,1092,246,0.00,420328185
862247,5392603,332180,801419728,415482405,83276672,1082,240,0.00,420310947
838592,5181033,319436,802187583,415597509,83193952,1062,243,0.00,420333459
817220,4989610,308089,802567781,415682879,83059684,1048,250,0.00,420344493
793064,4814923,297680,802807124,415716216,83007429,1046,255,0.00,420276804
769779,4653336,288073,803156438,415806122,82992466,1044,251,0.00,420359940
748162,4504759,279097,803545560,415852382,82971528,1032,246,0.00,420343932
729935,4367039,270866,803783848,415774998,82928119,1019,246,0.00,420304515
716648,4241243,263221,804340350,415883469,82888067,1015,247,0.00,420383746
704208,4125886,256249,804678957,415992128,82804153,1015,252,0.00,420310805
690127,4018228,249801,804965801,416093989,82767599,1012,250,0.00,420350868
674810,3916847,243760,805147561,416150988,82770765,1000,247,0.00,420382620
660341,3821254,237951,804986639,416032128,82738527,1022,244,0.00,420363728
649097,3732282,232502,805434413,416117882,82742042,1020,242,0.00,420359736
640444,3649254,227391,805869510,416202754,82682675,1018,268,0.00,420358385
632168,3571349,222786,806075100,416278861,82619400,1014,270,0.00,420335247
622945,3497919,218391,806188043,416313096,82586831,1008,275,0.00,420315383
612004,3427872,214167,806106826,416252744,82573302,1028,276,0.00,420371187
601778,3360987,210086,805978803,416177895,82559256,1025,279,0.00,420393332
593618,3298333,206209,806013624,416094341,82518383,1023,276,0.00,420313456
587618,3239660,202616,806014826,416044726,82445565,1017,271,0.00,420375357
582072,3184435,199258,806088566,416073956,82392606,1011,271,0.00,420378318
573451,3130972,196082,805855041,415955545,82378293,1027,271,0.00,420234639
565327,3079199,192973,805963231,416001110,82387534,1022,272,0.00,420526731
559128,3029722,189983,806267483,416067195,82399761,1019,272,0.00,420181896
554588,2984291,187110,806552885,416130941,82358261,1013,270,0.00,420361389
550471,2941149,184472,806670549,416189598,82320716,1007,270,0.00,420340302
543554,2899897,181957,806695837,416201854,82330521,1012,269,0.00,420403861
536916,2859949,179530,806758080,416235603,82343292,1013,265,0.00,420302603
530603,2821072,177211,806725090,416240909,82357635,1011,265,0.00,420355497
