l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,llc_occupancy,wall-cycles
5825647,4068475,4374709,1035065289,705065191,257578084,9923,629,0.00,398130324
12719176,2941978,10521624,1154632574,1338058954,757599326,67164,892,0.00,420428556
14257608,2238918,11972084,1133540146,1465877338,885330348,82498,838,0.00,420378750
15969984,1740123,13888670,1200148181,1634951354,1007001213,96791,905,2985984.00,420453393
16426776,1874966,14303682,1221686966,1673373532,1034290222,268686,887,2880307.20,420653157
17010429,1599842,14582263,1263786363,1760079159,1096221404,515098,890,7593984.00,420550410
17581248,1433064,14864797,1312381535,1827755869,1140822164,953767,940,10960896.00,420591273
17391389,1282923,14609439,1298521117,1816795725,1137540506,1167762,945,13486080.00,420664332
17883205,1180234,14830796,1328569682,1866978752,1171966039,1493566,1043,12031317.33,420626235
18245731,1096570,14989864,1351339282,1910458451,1202411714,1698440,1078,13944422.40,420660315
18512079,1027749,15147673,1372426342,1945924906,1229003048,1879407,1031,15406917.82,420696003
18593494,969988,15175632,1377034631,1959380080,1240128536,1979320,1034,16625664.00,420511407
18834941,920393,15305120,1388946114,1981489865,1254748964,2075479,985,17656910.77,420459462
19106513,885126,15411654,1401761165,2002080433,1267382000,2199354,1048,16416768.00,420481641
19125275,849206,15381667,1400831368,1998986324,1269209012,2256348,1044,15420620.80,420430995
19018325,817970,15255701,1402789135,1996403696,1264977470,2288345,1023,14512128.00,420707472
19262799,791195,15405449,1416573196,2019635511,1280856551,2392488,1040,13710516.71,420973989
19181398,761987,15346485,1413306527,2012791674,1276541239,2406287,1066,12997973.33,420439947
19297544,741568,15402296,1420422558,2026104280,1285967681,2455653,1075,12360434.53,420635505
19431271,721152,15492602,1427027735,2041527136,1296464255,2512060,1082,11786649.60,420482823
19415240,701805,15483683,1427554377,2044312483,1299470028,2530671,1075,11234742.86,420764566
19420606,682748,15472892,1429610088,2045764998,1299959237,2557310,1092,12064581.82,420785792
19460023,669782,15476812,1431619754,2050058825,1303059635,2600339,1107,12822260.87,420610425
19401980,653833,15423907,1429235673,2046135047,1299502049,2614215,1115,13516800.00,420668388
19532624,644941,15488563,1436854459,2058631027,1309111881,2665313,1146,14155776.00,421002474
19545357,633378,15487542,1437967175,2058364307,1307977910,2678145,1168,14522525.54,420791403
19527237,625408,15466662,1436210968,2056915418,1307687054,2692458,1160,15022307.56,420438603
19628615,615910,15530687,1442578430,2068426439,1315727550,2731153,1170,15486390.86,420921393
19706921,607243,15565846,1446939003,2077165141,1321847448,2766105,1209,15918468.41,420708666
19589759,593953,15450532,1436054839,2063190501,1313825506,2754521,1203,16321740.80,420352311
19644051,587502,15503467,1442999027,2072184034,1319277295,2783934,1215,16698995.61,420706284
19671970,580551,15513989,1445777443,2077092617,1323057838,2807072,1251,17052672.00,420677592
19726808,572480,15547762,1450077276,2084230798,1327837493,2831791,1250,17384913.45,420713673
19749723,563697,15561558,1450721326,2085955401,1328541594,2842667,1276,17697611.29,420874212
19774421,560371,15560933,1453277797,2089434062,1331162157,2864953,1286,17992440.69,420663378
19813475,553164,15583160,1452839072,2091285940,1332990830,2882407,1276,17584128.00,420611622
19877297,549191,15618562,1459779566,2099347916,1338378303,2907212,1305,17240396.11,420787974
19903575,542359,15641905,1462831989,2105319436,1342047407,2918848,1294,16914755.37,420341004
19965013,538480,15664699,1465768026,2109464164,1344766764,2946662,1304,16605814.15,420684396
19930640,532244,15631859,1464112087,2106808106,1342595318,2940240,1313,16312320.00,420942594
19951899,528276,15613437,1463696906,2106730468,1342975629,2944863,1305,16506680.20,420326340
19990555,523400,15656079,1467125405,2109962282,1344327316,2962222,1312,16835730.29,420810861
20038613,523278,15675414,1469547035,2112615209,1345740374,2975444,1311,17149475.72,420720270
20072337,519878,15698299,1471478211,2116127283,1347964814,2992299,1320,17448960.00,420969255
20094500,515243,15705517,1470313664,2116870561,1349111266,3004908,1310,17735133.87,420510009
20127375,511285,15729546,1472581218,2121096708,1351874945,3014940,1315,17352793.04,420493161
20174538,508513,15754128,1475656669,2124706185,1353981913,3028487,1306,17002408.85,420367782
20244138,507917,15809784,1480321164,2130731030,1357786817,3049223,1303,16666624.00,420707153
20289663,507347,15825129,1482006473,2133852793,1360446588,3073904,1303,16344544.65,420326479
20320002,505107,15844063,1483865754,2135915250,1361335796,3089881,1325,16035348.48,420605757
