l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,llc_occupancy,wall-cycles
368572,985095,69154,1048082096,419402856,52049116,110,193,0.00,409696800
298979,975517,69654,1049438476,420031572,53224932,55,231,0.00,420208287
275403,966506,67491,1050343819,419876288,53645405,50,267,0.00,420380952
295661,964649,66563,1051998187,419792801,53529469,38,233,0.00,420380265
310100,970773,67138,1051332694,419738005,53196026,58,255,1081344.00,420369798
296663,973088,67414,1050825381,419709575,53373885,48,239,3743744.00,420367083
286773,969328,67038,1050682210,419688668,53521942,41,254,6628498.29,420385518
296262,968621,66598,1050948363,419503511,53476279,79,284,9050112.00,420790308
304244,971460,66795,1050693290,419522925,53302032,70,298,11119274.67,420159474
296783,973088,66946,1050380738,419524285,53416826,78,306,12843417.60,420353838
290683,971902,66642,1050504081,419530586,53516023,71,332,14303232.00,420414723
294568,971464,66328,1051012298,419531388,53538583,67,311,15511552.00,420762687
300097,972551,66364,1051022034,419538218,53415871,62,335,16552881.23,420369711
299193,973605,66559,1050828881,419548770,53408583,57,345,17455981.71,420311709
294626,972016,66587,1050634589,419548769,53488697,57,360,18245222.40,420867037
294753,970644,66383,1051013514,419557832,53550764,54,362,18948096.00,420241835
299134,971920,66327,1051128524,419564904,53456362,51,390,19574061.18,420889848
298987,973222,66479,1050961609,419573186,53443167,48,401,20141397.33,420476031
295324,971272,66450,1050817777,419578650,53500321,47,405,20641253.05,420040569
295382,969974,66304,1051104411,419577328,53547833,51,400,21071462.40,420378957
298770,971718,66268,1051171193,419577096,53468569,48,386,21470061.71,420406272
298592,974658,66311,1050961366,419570951,53465942,46,386,21845829.82,420372396
295544,975957,66258,1050791317,419569435,53529175,44,386,22191059.48,420690702
295496,976797,66072,1051028939,419572009,53575478,42,372,22513664.00,420272505
298472,977360,66121,1051091012,419570889,53510020,42,377,22782935.04,420858557
298264,977089,66223,1050995647,419575970,53493408,41,375,23023931.08,420300724
295757,975846,66214,1050915684,419578745,53527033,40,374,23245255.11,420254244
295837,974079,66130,1051116652,419577699,53555236,40,387,23445504.00,420882729
298323,975246,66080,1051166756,419578425,53496933,38,382,23650586.48,420364188
298260,975108,66168,1051070258,419579367,53485367,37,389,23845273.60,420190566
295989,974001,66152,1050998771,419580189,53515498,36,380,24040084.65,420428550
296024,973242,66048,1051174876,419578156,53539247,35,368,24222720.00,420371226
