l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,llc_occupancy,wall-cycles
4701609,290822,3008578,393404106,419296964,186329586,113,305,0.00,411501962
4261766,193230,1579852,403088717,419725664,186423098,70,444,0.00,420609399
4161744,158164,1149692,395044302,419637820,191471526,55,468,6504448.00,420423132
4116309,138518,975703,384586584,419592000,196902980,44,422,11206656.00,420527433
4091003,126739,896716,374811009,419554190,201837112,79,390,14352384.00,420262035
4076461,117910,858639,366432699,419523883,206086384,66,376,16523264.00,420661713
4062046,112215,834601,360044765,419517435,209225131,57,412,18087936.00,420502845
4047856,107615,824342,354022048,419271238,211992809,187,413,19384320.00,420354843
4043688,104135,819453,349336021,419288418,214382308,167,423,20436309.33,420368970
4041534,101301,819101,345266918,419294933,216575914,155,398,21297561.60,420385335
4041545,98656,821680,341540338,419302285,218601781,141,390,22015627.64,420393324
4042539,96645,826430,338051175,419306910,220464567,131,379,22626304.00,420401223
4042392,94769,834489,334471741,419309971,222296988,125,406,22798966.15,420747829
4044883,93166,842320,331253704,419323136,224015116,120,405,23234852.57,420192155
4048504,91717,851055,328200125,419329221,225602226,126,388,23586406.40,420434829
4052939,90311,859904,325335319,419332093,227091702,120,375,23878656.00,420404568
4058401,89141,868601,322626886,419332637,228490246,119,379,24058458.35,10469448081
4063931,87805,877805,320087774,419330987,229833307,115,381,24201898.67,1390796
4069424,86760,886957,317655663,419330894,231102949,113,372,24459587.37,854600
4075786,85864,895965,315290176,419331276,232323086,108,360,24696422.40,825756
4081542,85228,904753,312966751,419327973,233525228,105,354,24917723.43,814108
4081634,84634,911818,310374094,419327938,234888661,104,343,25121140.36,813952
4082399,84191,919019,307860078,419328787,236210464,101,354,25306868.87,863056
4084140,83814,926333,305492632,419329769,237455648,100,353,25432064.00,817688
4090076,83542,934515,303480930,419332588,238506364,107,348,25535447.04,803072
4096536,82990,942895,301571151,419337869,239508671,104,340,25674358.15,804736
4102940,82468,950658,299755678,419337831,240455910,103,346,25693752.89,774844
4108387,82256,958331,297918165,419335493,241411518,100,349,25824109.71,747624
4110386,82122,964770,295998613,419340095,242428967,99,348,25937001.93,747644
4115655,81885,972292,294350567,419339642,243299093,98,343,26062028.80,743948
4122453,81781,979624,292863214,419339512,244081812,96,340,26167890.58,744636
4129218,81641,986862,291400556,419339090,244854063,94,338,26274816.00,734720
4135739,81526,994072,289939391,419277492,245566113,115,341,26370792.73,740648
4143265,81371,1001479,288580437,419280037,246307184,114,338,26458232.47,757860
4151103,81269,1008524,287267950,419282532,247018015,115,339,26547697.37,747260
4158379,81375,1015550,285953856,419284399,247726148,113,333,26624000.00,737704
4165610,81216,1022240,284666397,419286025,248420305,110,333,26697506.59,730704
4172708,81261,1029126,283385662,419287397,249105182,109,344,26768437.89,747200
4178290,81336,1035120,282073924,419286861,249807598,109,341,26768935.38,736704
4184922,81482,1041442,280842704,419288582,250480178,107,338,26830848.00,768720
4191663,81711,1047615,279670384,419291738,251114576,107,336,26763863.41,21983119
4198247,81826,1053973,278517968,419296041,251744788,106,332,26838162.29,420463225
4204854,82097,1059814,277409360,419299722,252346188,104,333,26879285.58,420263792
4211523,82195,1065680,276317143,419301765,252945124,103,333,26945349.82,420376059
4218069,82487,1071551,275228712,419303173,253536641,104,331,27001924.27,420378297
4224846,82654,1077230,274193762,419305725,254110020,102,332,27063518.61,420418029
4231176,82590,1082831,273169539,419306700,254673952,100,328,27119354.55,420374760
4235544,82487,1087479,272063914,419302763,255281415,98,336,27170816.00,420708832
4238841,82531,1091798,270925562,419306012,255919799,97,338,27198108.73,420168428
4244250,82454,1096804,269921325,419306394,256471661,98,336,27236106.24,2520079392
4250614,82402,1101866,268985380,419308192,256991816,98,335,27287070.12,1389004
4256592,82295,1106857,268069596,419309547,257497106,96,330,27330402.46,822684
4262656,82415,1111681,267180007,419310993,257988880,95,334,27371172.23,762424
4268686,82381,1116453,266293445,419312379,258478751,94,331,27417713.78,761016
4274522,82419,1121174,265430447,419314779,258957871,92,330,27425922.33,954428
4280192,82402,1125920,264570346,419315222,259437245,90,327,27470701.71,418419101
4283874,82477,1129775,263639769,419315606,259960020,90,326,27513047.58,420203310
4288088,82567,1133982,262747274,419283783,260420338,88,331,27557323.03,420361524
4291890,82653,1137821,261876969,419283684,260905801,87,331,27604263.05,420398070
4296130,82715,1141651,261044743,419283652,261373807,86,328,27651276.80,420358182
4301454,82773,1145825,260262393,419284578,261800505,84,325,27694331.80,420632203
4306768,82872,1149975,259511901,419287376,262217512,83,326,27737583.48,420165842
4312050,83030,1154053,258768576,419288511,262629147,82,323,27777901.71,420531339
4317337,83203,1158002,258043684,419291302,263033295,81,323,27818496.00,420676584
4322356,83315,1161963,257334511,419294275,263431205,80,323,27857085.05,420406140
4327374,83398,1165809,256635473,419297038,263819988,79,325,27881099.64,420302202
4332305,83481,1169591,255951081,419297757,264197693,78,324,27917602.39,420377229
4336753,83561,1172996,255254906,419297960,264581275,77,326,27941466.35,420497049
4339134,83689,1175803,254475979,419300415,265019229,76,328,27978173.22,420717866
4343286,83761,1179126,253801580,419301603,265391980,77,328,28009618.29,420184426
4348036,83815,1182570,253176394,419302523,265742394,76,326,28044331.27,420389892
4352541,83827,1185998,252567971,419304093,266085529,75,324,28063744.00,420449262
4357111,83866,1189260,251962222,419305541,266424727,75,323,28090031.34,420463755
4361660,83880,1192467,251374196,419306840,266754629,74,327,28116936.65,420383319
4363838,83976,1194958,250690822,419308167,267141751,73,325,28136570.88,420723861
4366423,84043,1197437,250030534,419310080,267512587,72,324,28167329.68,420218262
4369372,84119,1199999,249398361,419309964,267864147,71,326,28196651.22,420443340
4372756,84150,1202711,248809054,419310437,268195605,70,330,28221440.00,420412356
4376110,84169,1205326,248217856,419310418,268523047,69,333,28249334.28,420378897
4379360,84200,1207979,247637156,419311337,268846770,69,334,28277145.60,420402780
4381578,84263,1210394,247023350,419311686,269191626,68,335,28304270.22,420587118
4383100,84355,1212639,246393346,419313827,269547403,67,333,28327136.78,420462909
4386013,84413,1215277,245829979,419286385,269833377,79,334,28350636.72,420366513
4389846,84473,1218155,245330331,419287572,270113438,79,338,28375332.57,420458775
4393726,84610,1221022,244828500,419290256,270391946,78,336,28398869.08,420651096
4397241,84740,1223730,244326114,419292841,270671854,78,336,28419000.56,420336612
4399433,84802,1226065,243778221,419293073,270977361,77,336,28439234.21,420701253
4401346,84889,1228213,243225113,419294824,271285407,76,336,28462359.27,420274464
4402996,84988,1230253,242669353,419296829,271598651,75,337,28481651.06,420592530
4405915,85072,1232728,242186121,419297742,271863684,74,335,28500514.13,420292950
4409343,85127,1235354,241733169,419298953,272113752,73,334,28514641.58,420618531
4412786,85228,1237900,241290512,419300747,272357787,73,332,28535941.57,420293820
4416036,85307,1240416,240854829,419301626,272597654,73,333,28547270.19,420691746
4419289,85367,1242928,240423966,419303671,272836830,72,335,28565155.40,420430644
4421109,85484,1244955,239936607,419305230,273110542,71,334,28585251.03,420311307
4422635,85677,1246810,239438275,419305375,273390162,71,334,28604928.00,420769139
4423928,85823,1248694,238948503,419306170,273665119,71,334,28618118.60,420118333
4425629,85997,1250647,238471005,419304411,273931952,71,334,28629535.35,420328776
4426945,86175,1252392,237989804,419305161,274201157,70,334,28647175.76,420525567
4429716,86293,1254579,237576519,419306579,274432173,70,333,28658565.12,420614392
4432745,86391,1256853,237188237,419308360,274645407,69,332,28676542.10,420173999
4435701,86502,1259074,236803522,419309299,274856439,69,331,28692720.94,420442674
4438611,86565,1261249,236421144,419309880,275064083,68,333,28709062.83,420383331
4441569,86561,1263392,236046385,419310040,275268298,68,335,28721782.15,420310836
4444093,86587,1265439,235662195,419309361,275479391,67,337,28738004.11,420390015
4445133,86576,1266977,235219163,419310387,275726553,67,336,28754383.70,420425340
4445959,86574,1268404,234779077,419310704,275972342,66,336,28767700.93,420364362
4447683,86560,1270258,234381403,419289500,276170910,74,340,28782592.00,420699861
4450116,86557,1272180,234021127,419291419,276369814,74,339,28796758.90,420178242
4452454,86555,1274084,233666292,419292137,276564043,73,338,28812008.73,420378507
4455016,86571,1275998,233322954,419293050,276750877,72,336,28826098.16,420418773
4457715,86572,1277929,232989778,419294181,276932063,72,336,28838180.57,420626193
4460312,86543,1279832,232661273,419295741,277111944,72,337,28852658.97,420358962
4462614,86554,1281659,232327753,419296719,277294110,71,337,28866452.21,420456402
4463642,86606,1283053,231942207,419297057,277508514,71,337,28880432.97,420391851
4465032,86654,1284535,231579227,419296690,277708222,70,339,28887816.83,420690261
4466064,86685,1285894,231202778,419297583,277916852,69,343,28901376.00,420611825
4466987,86739,1287209,230828488,419298016,278124302,69,345,28907207.59,419978791
4467907,86772,1288504,230452360,419298648,278329733,69,346,28919549.85,420395382
4469838,86799,1290150,230138726,419299292,278502699,68,346,28932505.60,420397974
4472120,86845,1291860,229843570,419300470,278662606,68,345,28945653.42,420461793
4474515,86888,1293570,229548736,419301565,278822065,67,345,28958585.70,420542403
4476704,86931,1295313,229254199,419303047,278983527,67,344,28964514.34,420690978
4478951,86959,1296978,228966418,419304757,279142148,67,344,28972329.29,420480274
4481163,86978,1298639,228684777,419305921,279296138,66,346,28979232.77,420199304
4482292,87022,1299893,228362191,419306268,279474175,66,346,28991488.00,420414267
4483147,87043,1301068,228028836,419306078,279654670,65,347,29003163.21,420397158
4484129,87055,1302258,227704176,419306502,279833510,65,347,29011968.00,420613173
4485002,87072,1303411,227379631,419307463,280012446,65,345,29023684.47,420299733
4486065,87093,1304614,227069089,419308066,280183151,64,345,29033708.31,420399972
4486818,87103,1305687,226754376,419308865,280356522,64,344,29045079.94,420685056
4487469,87119,1306737,226439812,419310143,280530660,64,344,29057024.00,420237693
4488924,87098,1308059,226161336,419293301,280665094,63,345,29068418.89,420570273
4491017,87080,1309554,225910951,419294848,280800183,63,345,29080010.51,420603852
4493096,87101,1311024,225661549,419296343,280935314,63,346,29090338.13,420373659
4495081,87091,1312504,225412854,419297826,281070446,63,346,29100513.88,420368628
4497112,87089,1313924,225171372,419298172,281201498,63,347,29111617.40,420652097
4498990,87084,1315289,224929913,419298754,281331684,62,346,29122916.17,420180823
4500011,87080,1316381,224657175,419298636,281480767,62,345,29134052.37,420730080
4501587,87078,1317665,224404463,419299705,281617798,62,344,29142571.89,420166335
4503644,87071,1318990,224171232,419300474,281742287,61,344,29147833.19,420705963
4505552,87080,1320321,223942544,419301703,281865871,61,344,29156827.94,420195069
4507397,87076,1321657,223709027,419302198,281990614,61,344,29160197.37,420410598
4509243,87111,1322944,223480128,419303225,282112178,61,343,29168298.67,420449940
4510750,87120,1324008,223240513,419303203,282240849,61,343,29175949.24,420393576
4511388,87150,1324726,222970535,419303722,282387994,60,343,29185851.62,420376605
4511885,87186,1325394,222698222,419304470,282538152,60,345,29195619.27,420428664
4512349,87224,1326178,222428010,419304715,282687778,60,345,29201269.62,420369111
4513204,87259,1327003,222174188,419304285,282825367,59,345,29207503.89,420390915
4513993,87277,1327779,221927279,419304177,282961758,60,345,29211033.60,420403596
4514972,87320,1328608,221692543,419303957,283090458,60,347,29220375.74,420542424
4515884,87366,1329376,221456507,419304750,283221491,60,346,29228301.47,420456639
4516520,87423,1330091,221211268,419305689,283358487,59,346,29236444.86,420539100
4517105,87467,1330764,220968370,419306921,283493628,59,345,29245120.83,420473427
4517782,87536,1331444,220727707,419307649,283626640,59,344,29253367.74,420671877
4518857,87576,1332255,220512542,419308514,283744714,59,345,29261508.92,420215964
4520180,87671,1333121,220307414,419308846,283857228,58,346,29270172.54,420376245
4521685,87697,1334139,220112800,419295293,283949669,59,348,29277793.22,420390720
4523518,87708,1335166,219933049,419295828,284047987,58,348,29285627.17,420382359
4525263,87678,1336188,219755044,419296735,284144285,58,348,29293977.60,420409569
4527060,87631,1337194,219578860,419297429,284238578,58,348,29302224.30,420379803
4528578,87573,1338109,219392448,419298081,284339395,57,348,29310369.19,420379743
4530050,87535,1339017,219207496,419298365,284439137,57,347,29317207.95,420362790
4531530,87499,1339916,219025740,419299209,284537933,57,346,29324263.02,420477201
4532959,87468,1340822,218842881,419299950,284638110,58,344,29331828.36,420382488
4534572,87429,1341770,218671588,419300560,284731158,58,345,29334861.11,420458643
4535967,87376,1342621,218496582,419301289,284827498,57,347,29342566.71,420551028
4536963,87347,1343358,218304334,419302145,284934046,57,347,29345792.00,420285714
4537254,87354,1343895,218082382,419302812,285058235,57,347,29351887.53,420814155
4538385,87342,1344663,217895448,419304074,285161681,57,348,29359356.99,420142407
4539862,87319,1345512,217724727,419304808,285254696,57,348,29365876.77,420797301
4541206,87302,1346340,217550943,419306190,285349258,57,348,29372892.28,420161571
4643927,88276,1415288,220894522,435419806,299252426,1678,350,29382951.95,420690390
4812676,88488,1532558,226193961,460309851,320628025,4169,353,29392896.00,420625470
4983335,88688,1652458,231402371,484755749,341640787,6721,358,29402726.40,420628443
5156272,88906,1773747,236693667,509426501,362731270,9223,365,29412724.36,420523641
5310664,89007,1877703,241885264,533541223,383502695,11598,370,29423164.75,420635694
5474823,89142,1991480,246983199,557364018,403944867,14017,375,29433211.69,420609747
5630161,89197,2097206,252093098,581124626,424364691,16441,377,29442597.18,420634365
5786569,89278,2203907,257160968,604684795,444594956,18840,381,29452424.53,420731097
5944575,89351,2312464,262176870,627992435,464605335,21202,388,29462143.29,420785685
6104752,89487,2423566,267120703,651019875,484387453,23605,392,29471485.19,420766128
6259623,89570,2530521,271940186,673397198,503603579,25981,400,29480993.57,420795522
6418012,89693,2640227,276819440,695862673,522873145,28313,402,29489864.35,420547752
6574195,89792,2749081,281567127,718003942,541904258,30618,406,29498639.22,420624669
6730380,89903,2858023,286307982,740061208,560859407,32940,413,29508112.52,420665676
6884670,90034,2964858,290955795,761719905,579400696,35141,420,29517221.65,420786882
7035770,90145,3071084,295578617,783279758,598003589,37435,426,29525710.98,420677028
7187008,90249,3176426,300158163,804613413,616343126,39660,428,29534370.54,420978249
7336156,90395,3280164,304669825,825632172,634413539,41841,430,29542680.25,420499002
7484314,90514,3383359,309151698,846477486,652328944,44030,434,29550645.61,420750585
7629745,90646,3484553,313551030,866973035,669946304,46162,440,29558528.00,421047462
7770270,90711,3581227,317881341,887141224,687283131,48279,444,29566583.38,420570741
7904844,90802,3673017,322159092,907023213,704366495,50321,445,29574048.99,420922440
8024324,90778,3752330,326241394,925989756,720653823,52271,450,29582194.22,420902871
8149759,90853,3835667,330387533,946028858,737773335,54211,453,29590256.33,420564534
8270358,90894,3915749,334289940,965860958,754599507,56110,459,29598486.09,420607671
8400257,91015,4004429,338134367,985391834,771170570,58040,465,29606632.73,420955014
8529067,91096,4093031,341952916,1004674945,787514997,60038,468,29614697.49,420563970
8654813,91218,4179292,345669144,1023489060,803466112,61851,472,29622681.60,420642738
8780659,91322,4265693,349391817,1042369989,819482077,63717,474,29629852.66,420715872
8906667,91407,4353284,353069240,1061136033,835419030,65617,480,29637439.37,420694704
9029556,91525,4437532,356723350,1079697322,851167700,67464,486,29644951.33,420852477
9154151,91640,4523965,360343080,1098006573,866690329,69340,489,29652389.65,420600285
9275954,91738,4609043,363818234,1115914990,881986520,71187,491,29659995.16,420500229
9401492,91861,4696127,367428403,1134090006,897322435,73046,492,29667049.63,420800949
9523589,91951,4781039,370916087,1151922436,912469244,74867,500,29674035.94,420577521
9630325,91976,4852859,374265729,1168879712,926843617,76518,505,29681191.38,420987594
9746990,92067,4933378,377724058,1186314048,941615082,78274,507,29688278.35,420557052
9847702,92098,5000469,380899247,1202431280,955273114,79834,511,29695765.94,420731649
9959612,92182,5076004,384328310,1219658356,969862813,81517,512,29702250.77,420652467
10069365,92271,5151077,387728908,1236702377,984289743,83201,518,29709138.11,420682347
10181393,92379,5228754,390996397,1253325524,998396637,84833,521,29716422.31,420631479
10293413,92485,5306269,394251812,1269974872,1012540575,86480,523,29723408.75,420795537
10403950,92565,5382428,397516441,1286512331,1026565264,88124,527,29730330.20,420712575
10512781,92641,5457257,400741248,1302765555,1040336672,89826,528,29736504.89,420877227
10620391,92701,5530943,403963205,1319053442,1054145124,91455,536,29743528.70,420585006
10724839,92773,5602685,407061268,1334914974,1067619876,93052,541,29750037.14,420712506
10832704,92875,5677712,410116479,1350620815,1080968867,94610,542,29756710.58,420665559
10931344,92939,5745039,413213215,1366369696,1094331348,96144,547,29763099.93,420688371
11032298,93007,5811947,416337568,1382040841,1107597130,97705,550,29769431.46,420759558
11142117,93142,5888747,419412444,1397589581,1120780616,99286,556,29775927.35,420610161
11250477,93313,5964533,422458902,1412976153,1133820910,100849,557,29782585.40,420915228
11357990,93413,6039480,425469706,1428193791,1146722450,102410,561,29788745.14,420626004
11462180,93519,6111488,428370277,1442941923,1159211675,103905,563,29794850.13,420560100
11564465,93605,6182865,431348104,1458020052,1172049996,105432,564,29800901.10,420676062
11668535,93710,6255669,434261372,1472920684,1184709531,106929,570,29807331.81,420745554
11766427,93759,6323377,437104050,1487483241,1197081629,108362,571,29813490.53,420724926
11865840,93852,6392672,439944680,1502042380,1209451844,109831,573,29819810.10,420752415
11949582,93839,6448257,442602806,1515674302,1221026001,111152,577,29826288.42,420978987
12038310,93848,6507174,445456559,1530133771,1233288162,112551,580,29832285.09,420869037
12129189,93894,6568603,448265006,1544381443,1245373787,113988,586,29838441.93,420469008
12221394,93927,6631676,450993629,1558258300,1257145878,115419,590,29844334.97,420777717
12317180,93986,6697539,453776970,1572294104,1269040790,116842,592,29850177.64,420737823
12413822,94032,6764541,456519130,1586114555,1280769335,118299,594,29856179.74,420613659
12509518,94118,6831018,459265139,1599911310,1292434733,119724,596,29861714.44,420652464
12604406,94215,6896849,461971340,1613557639,1303999420,121116,601,29865958.08,420646005
12700463,94343,6964294,464604895,1626915496,1315329576,122534,606,29871611.70,420713343
12796790,94440,7031959,467246951,1640281897,1326663485,123907,608,29877629.32,420774375
12892255,94545,7099178,469866121,1653546014,1337911861,125321,611,29883187.20,420666615
12984014,94617,7163670,472371023,1666263081,1348698386,126668,613,29887067.35,420669690
13068772,94629,7220887,474980036,1679315050,1359745120,127965,616,29892540.30,420689895
13159357,94696,7284005,477507496,1692097728,1370579211,129293,621,29897765.93,420641940
13250798,94799,7348342,480011396,1704801290,1381354135,130562,623,29902747.28,420645711
13342194,94869,7412630,482519734,1717480931,1392103153,131893,628,29907687.97,420814617
13433171,94927,7476547,485010486,1730168168,1402872857,133258,630,29912788.29,420938814
13522588,95011,7539504,487460489,1742731437,1413549788,134552,633,29918046.32,420792537
13612284,95060,7602420,489920795,1755238022,1424162016,135822,640,29923063.74,420724089
13695549,95102,7659317,492386105,1767647340,1434672796,137032,641,29928238.27,420695388
13774168,95133,7712142,494799000,1779775232,1444938872,138224,644,29933371.39,420900798
