l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,llc_occupancy,wall-cycles
20481009,8027637,5235343,5092433157,3466199088,997509755,144192,3173,0.00,415805498
17062472,8039881,4213120,5853624007,3834268276,992647715,108768,2661,0.00,421122267
17969805,8285929,4271926,6463834134,4221646890,1080799766,108204,2454,0.00,421296363
19882734,9493948,4717308,6818469713,4430104455,1144994652,122114,2278,0.00,421362552
19410158,9848462,4510893,6991702764,4524531813,1156162315,120494,2380,0.00,421032099
20161724,9972557,4672454,7115742087,4609593553,1182128610,126274,2352,0.00,421215468
20629348,10634226,4503683,7242273237,4666210453,1185659336,124757,2324,56173.71,421258062
20407006,10821401,4383715,7305277369,4707914394,1184718467,123001,2254,153600.00,421213455
19389339,10496402,4164482,7389642432,4743949583,1178966614,116832,2225,229376.00,421065666
19086864,10300064,4107436,7465143947,4776688853,1177598592,112007,2233,358809.60,421308915
18314763,9946419,3927103,7517897066,4796253629,1170384513,106358,2195,402152.73,421034235
18193614,9902503,3928870,7548217427,4819551054,1174349119,106441,2496,438272.00,421000395
17960710,9720997,3915568,7570378111,4832116172,1176533700,106113,2771,468834.46,421329921
17997193,9735503,3919337,7591687223,4846530491,1178876354,105261,3029,495030.86,421243881
17967926,9819141,3913314,7617234906,4859736268,1180114127,102982,3291,517734.40,421190541
17670371,9733235,3874737,7641046033,4870228892,1177932226,101946,3446,537600.00,421241538
17628561,9630084,3867955,7660758340,4878586267,1177779824,100598,3614,656323.76,421366707
17273055,9452090,3812430,7682188211,4884958178,1175718223,98362,3719,761856.00,421098186
17305877,9525883,3846123,7695969465,4893953703,1179005597,97213,3848,856279.58,421120080
17167882,9529768,3808685,7721738947,4903787289,1177685829,95518,3956,1039564.80,421511730
16955867,9557757,3767522,7724210734,4909132825,1178432524,95386,4019,1111771.43,421452654
16866535,9576514,3742676,7732190084,4914209495,1178328091,93940,4112,1231034.18,421377417
16958204,9557399,3784471,7726669113,4915107135,1181734973,94166,4213,1342063.30,421143192
16913357,9533921,3770696,7742819483,4923995507,1182049205,93228,4287,1441792.00,421314393
16743861,9478829,3739292,7754180547,4928691878,1181236901,91940,4348,1533542.40,421464024
