l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,llc_occupancy,wall-cycles
9640906,402834,4460955,1303359106,419434664,29907201,3,366,0.00,412967970
8477714,335016,3961662,924948922,420014642,122079926,2,382,0.00,420298659
8225107,1749573,3658218,740418891,419869361,159078131,2,411,0.00,420380586
12678256,11392260,4628618,799624863,419705486,141106184,2,374,4681728.00,420388335
15513463,13664409,5186058,846807397,419618754,131166294,5,354,8129740.80,420379575
17472195,14895629,5546361,883035560,419570215,124807369,8,358,10600448.00,420401145
18074808,16317849,5599371,914480470,419541680,117320612,7,357,12421412.57,420391614
18922278,19848007,5851752,918522103,419505978,113656087,13,337,13922304.00,420391797
19702654,21066544,6059890,931129554,419242360,111047871,27,378,15324501.33,420581523
20435237,21492827,6178279,942395421,419261797,109388832,26,423,16470835.20,420397590
21014995,20752918,6263919,955972680,419272873,108068170,26,424,17435554.91,420452607
20986250,21833704,6276747,962472698,419278291,104994222,24,418,18251776.00,420561840
21328117,23535456,6363655,962199906,419284096,103770697,22,454,18953767.38,420658982
21680194,24019567,6432400,964986973,419294124,102952237,25,466,19558985.14,420529396
22043525,23627281,6494137,971005397,419304216,102348073,27,459,20083507.20,420318276
22060225,23148789,6459446,982005987,419305832,100934407,26,438,20474880.00,420697203
22130397,24554692,6492231,977692215,419310555,100448984,26,457,20938752.00,420342648
22280212,25701497,6523811,976931430,419311426,100303982,25,456,21351082.67,420351684
22450116,25694962,6564711,978071376,419306520,100171949,24,459,21722597.05,420403788
22681393,25087591,6599265,982405969,419307086,99812790,23,451,22064332.80,420732168
22647130,24527510,6572208,991513670,419313832,98583387,22,452,22373522.29,420495156
22757873,25669794,6610987,988144560,419316662,98099830,21,441,22659072.00,420544182
22902139,25909309,6644591,987335774,419318720,97684483,20,431,22919791.30,420473151
23042454,26024878,6673911,990346259,419318808,97599957,21,436,23158784.00,420378126
23172125,25373562,6676941,993496549,419321968,97694721,21,432,23351132.16,420377025
23052020,25357334,6644343,996491336,419321985,97049185,20,431,23555150.77,420480207
23107075,25786475,6657069,993964324,419322403,96905089,20,427,23744056.89,420404076
23192942,25788314,6678385,994105686,419320802,96699951,19,417,23919469.71,420411798
23312092,26020895,6699963,995461917,419320030,96632957,19,416,24084480.00,420411351
23390148,25318986,6698888,1001110145,419319390,96363689,18,412,24238489.60,420706716
23337640,25845849,6677754,1000360300,419323252,95889697,18,410,24382563.10,420298131
23373520,26295288,6687664,998307652,419322741,95874532,18,399,24517632.00,420557163
23419224,26479083,6700638,997390125,419324697,95954806,18,399,24646004.36,420476490
23501711,26343448,6714000,999301170,419271816,96014255,43,394,24774053.65,420471105
23486406,26109810,6684650,1004083063,419275408,95294930,42,391,24898998.86,420832702
23551229,26436663,6708903,1003369138,419277564,95075502,41,388,25015637.33,420310316
23625576,26525835,6726140,1004100346,419280760,94918351,40,386,25127299.46,420738011
23710440,26215251,6740347,1006805670,419284498,94842650,39,385,25231791.16,420173815
23795286,25854088,6757152,1009480212,419287380,94794162,38,385,25332184.62,420687045
23745856,25676274,6749241,1011729037,419290878,94252972,38,382,25427558.40,420281208
23787671,26050635,6766846,1010265869,419290864,94111896,38,379,25520677.46,420343248
23821089,26310237,6782140,1009510770,419291690,93960366,37,377,25610532.57,420602118
23892229,26273436,6793080,1010668176,419294129,93891394,36,375,25695065.30,420606789
23966605,26133034,6805630,1011719265,419296495,93879356,35,378,25775755.64,420366498
23921880,25761148,6778598,1014902380,419300155,93489470,35,375,25852859.73,420464814
23964279,26007891,6792391,1013986833,419301047,93376105,34,382,25926611.48,420524376
23994172,26181511,6806906,1013945765,419301517,93265834,34,383,25997224.85,420390984
24040946,25960260,6804258,1014791815,419300522,93385833,33,384,26064896.00,420506217
24078511,25913022,6804055,1013903612,419303167,93536609,33,385,26129805.06,420685023
24068427,25593047,6798341,1015223792,419305145,93528943,33,390,26178355.20,420238530
24057171,25870995,6791243,1014976712,419303601,93301666,33,391,26240421.65,420404262
24073206,25758804,6798275,1015828724,419303490,93375800,32,389,26300100.92,420461262
24074230,26171233,6800588,1013223419,419302837,93401515,32,387,26357528.15,420350658
24125357,25874988,6801604,1015250396,419301333,93453372,31,390,26411918.22,420395370
24173774,25855896,6811016,1016411293,419296512,93417686,31,386,26465224.15,420348255
24130941,25992634,6797017,1017746475,419294702,93106939,31,385,26515748.57,420351807
24156133,26223769,6803725,1016595078,419294412,93059982,31,386,26565362.53,420403317
24169043,26410083,6812035,1015915087,419294142,93013140,30,389,26613265.66,420414570
24209779,26273645,6822671,1017581828,419255626,93024407,52,386,26657878.78,420390027
