l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,llc_occupancy,wall-cycles
339781422,547818,14715,17778823085,5006463776,149688529,24707,2509,0.00,349653249
346758279,545730,11960,17835147168,5023340503,146275319,23501,2578,122880.00,420635352
351048762,574764,10269,17790602118,5013697018,145862271,23364,3015,163840.00,421046982
349655458,574386,10186,17485780846,4932463533,145646176,22009,2779,184320.00,420703971
347623385,554841,9342,17241373590,4869893530,145989746,20715,2699,196608.00,420863790
346558905,533322,8558,17095374439,4828361299,144520041,19959,2591,204800.00,420681738
345877677,522378,7941,16992654728,4798789139,143031649,19578,2484,210651.43,420772041
345361750,509733,7729,16914941693,4776386034,141995224,19266,2353,215040.00,420775548
344707422,498680,7550,16842963151,4758946980,142933164,18932,2394,218453.33,420777435
344327628,490213,7151,16790814828,4745121432,142894116,18736,2327,221184.00,420765195
342195667,479133,6927,16657515141,4707326527,141196320,18437,2304,223418.18,420706806
339197223,465351,6861,16493228850,4665015906,142012600,18156,2248,225280.00,420744324
336705015,454872,6676,16356696050,4629142197,142210128,17883,2184,226855.38,420755076
334813383,445502,6499,16250491418,4598569401,140968449,17658,2199,228205.71,421112316
333092891,437387,6382,16153778589,4572073789,140415567,17464,2117,229376.00,420455514
331713265,430400,6258,16075542488,4548790294,139100020,17270,2028,230400.00,420813390
330453946,425274,6185,16004518608,4528245702,138285662,17114,2000,231303.53,421039560
328909093,421022,5974,15920321784,4504802407,137813323,16920,1966,232106.67,420713556
326249318,413824,5905,15785372467,4466707313,136785722,16726,1945,232825.26,420707988
323908406,408131,5883,15665821964,4432302791,135471770,16456,1914,233472.00,420718170
321764554,403015,5877,15555398056,4401181975,134540524,16285,1900,234057.14,420751851
319829727,397721,5761,15457082482,4372927341,133594248,16137,1896,234589.09,420703716
318061238,392645,5650,15366830803,4347157542,132731896,16031,1831,235074.78,420671706
316437974,388877,5642,15283932458,4323498261,131962246,15865,1808,235520.00,420951273
314468021,383507,5602,15185510918,4295463747,131076754,15747,1783,235929.60,420772401
311923310,377984,5535,15059268892,4259528699,129886090,15528,1796,236307.69,420974880
309573655,373166,5468,14942408080,4226189431,128758263,15362,1759,236657.78,420504963
307379775,368169,5376,14833416216,4195204031,127751994,15193,1738,236982.86,420948840
305325192,364655,5331,14731498269,4166143610,126807621,15102,1752,237285.52,420687261
303430261,359807,5245,14637351151,4139251973,125836285,14961,1738,237568.00,420592056
301675656,354934,5213,14550181663,4114071463,124773440,14825,1702,237832.26,420618468
299513530,350758,5153,14444781406,4083957931,123715573,14631,1683,238080.00,420597843
297040194,345663,5076,14323606129,4049274724,122436713,14420,1676,238312.73,420671994
294713442,340458,5041,14209573893,4016638801,121255603,14233,1688,238531.76,420592719
292518469,336193,5007,14102026047,3985858442,120125594,14056,1666,238738.29,420734718
290447710,331849,4962,14000519026,3956791925,119051350,13884,1649,238933.33,420785256
288490709,327596,4883,13904624025,3929322982,118030757,13713,1635,239117.84,420850737
286636173,323573,4823,13813721995,3903292052,117059504,13566,1601,239292.63,420528009
284172626,319111,4809,13694108770,3869263912,115914641,13389,1588,239458.46,420599823
281731220,314935,4785,13575308052,3835493438,114825495,13233,1585,239616.00,420679356
279395178,310731,4706,13461691827,3803409448,113901004,13068,1573,239765.85,420652215
277170217,307298,4664,13353408581,3772836569,113019367,12915,1554,239908.57,420624267
275049414,303753,4613,13250209366,3743663752,112155921,12769,1519,240044.65,420549906
273026464,300652,4594,13151731760,3715805840,111343879,12648,1514,240174.55,420566727
270891182,297137,4535,13048163568,3686622763,110444090,12521,1505,240298.67,420906024
268382954,293205,4477,12926550507,3652125043,109338120,12375,1480,240417.39,420329031
265979996,289478,4422,12810071333,3619081720,108276211,12238,1452,240531.06,420833955
263679426,285697,4393,12698504229,3587427940,107259678,12099,1439,240640.00,420554472
261470624,281852,4334,12591481589,3557065580,106289784,11972,1429,240744.49,420786252
259347648,278679,4299,12488635504,3527924331,105369845,11846,1420,240844.80,420878172
257298919,275736,4264,12389355766,3499915145,104568848,11724,1414,240941.18,420369531
255313144,272740,4201,12293107381,3472889196,103865552,11614,1399,241033.85,420497565
252831012,269512,4155,12173008608,3439034486,102884844,11504,1394,241123.02,420518034
250429828,266707,4137,12056886592,3406261664,101917090,11395,1385,241208.89,420472458
248131874,263478,4106,11945783536,3374853278,100956594,11287,1382,241291.64,420534942
245917105,260588,4057,11838722752,3344578865,100028605,11185,1374,241371.43,420635340
243780828,257758,4021,11735449775,3315374464,99132478,11088,1370,241448.42,420607536
241717715,255063,3986,11635699188,3287160152,98267780,11001,1354,241522.76,420491265
239419861,252198,3953,11524898679,3255975293,97333215,10887,1345,241594.58,420852981
236974684,249093,3919,11406896299,3222703383,96365786,10766,1340,241664.00,420505470
234611159,246041,3878,11292817784,3190525023,95419020,10657,1334,241731.15,420520218
232324016,243200,3841,11182441406,3159378718,94499752,10542,1317,241796.13,420678471
230109091,240482,3807,11075547929,3129225230,93610765,10430,1306,241859.05,420699879
227963729,237804,3761,10972000777,3100016013,92750551,10327,1296,241920.00,420801183
225883531,235189,3739,10871586261,3071698360,91926156,10227,1290,241979.08,420336102
223861193,232751,3711,10773997336,3044236141,91162364,10133,1279,242036.36,420865492
221502412,230106,3682,10660205272,3012246274,90307537,10010,1269,242091.94,420272189
219150301,227382,3639,10546841213,2980293425,89394787,9883,1258,242145.88,420462801
216866440,224798,3601,10436773355,2949268228,88507085,9760,1245,242198.26,420541122
214648975,222316,3571,10329914026,2919121971,87633545,9641,1236,242249.14,420782490
212493616,219918,3535,10226021977,2889833118,86793996,9524,1224,242298.59,420642502
210397999,217645,3502,10125025752,2861357476,85977328,9409,1216,242346.67,420316079
208359266,215360,3468,10026759866,2833661701,85185246,9299,1204,242393.42,420639162
206096530,213092,3440,9917731736,2802968015,84338096,9180,1192,242438.92,420805931
