l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,llc_occupancy,wall-cycles
449244,26072,8239,10726283480,5044751459,605131624,128639,2670,0.00,417836175
417962,22000,5842,10725873864,5046689464,604163042,128396,2863,0.00,420703221
406908,19025,5133,10722273362,5044456423,603665329,128643,3231,0.00,420761820
409462,18950,5945,10714600822,5042860314,604080865,128279,3384,0.00,420768243
414231,21018,6356,10695739660,5035080718,603362030,126956,3378,0.00,420881487
407718,19394,5639,10697832269,5035712958,603370982,127830,3270,0.00,420660501
405240,18766,5354,10689668798,5031867390,602865441,128513,3386,0.00,420935802
404713,18470,5309,10690256695,5032115643,602899254,128667,3216,0.00,420915906
407480,18972,5572,10689842461,5031992133,602948971,128370,3283,0.00,420813594
404366,18914,5335,10690222173,5032187830,602974202,127415,3256,0.00,421010382
401624,18701,5234,10692048923,5033044599,603060723,126624,3226,0.00,420788715
398956,18168,5076,10692959900,5033372425,603046972,126354,3068,0.00,420866751
399142,18441,5159,10693909855,5033827597,603124555,126205,3023,0.00,420950085
403705,18396,5174,10694534580,5034334394,603408640,128813,3081,0.00,420819645
407158,18043,5188,10691413327,5033073594,603427722,131344,3092,0.00,420845607
410989,17896,5193,10691984543,5033391230,603599260,133388,3041,0.00,420914613
413532,17483,5217,10692431816,5033642502,603725528,135349,2988,0.00,420955845
415951,17115,5030,10692722813,5033934901,603858936,137055,2950,0.00,420854484
418992,17026,5035,10692766687,5034185341,604081269,138717,2926,0.00,420962325
420657,17037,5057,10692935140,5034431020,604237382,140065,2934,0.00,420961344
422301,16890,4899,10693434355,5034739111,604375044,141451,2911,0.00,420978996
424410,16853,4856,10693793881,5035042661,604493943,142524,2923,0.00,421092255
425892,16775,4860,10694133906,5035307053,604607921,143367,2895,0.00,420830529
427401,16706,4918,10693824464,5035327586,604734360,144277,2912,0.00,420796365
428935,16837,4886,10693372551,5035226559,604826873,145125,2943,0.00,420864294
