l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,llc_occupancy,wall-cycles
4395210,1902264,2345040,280874051,419495758,217185708,110,340,0.00,411611490
6315684,6541571,3829822,452045626,419689515,171514412,68,394,15654912.00,420291735
11140781,20689561,4987784,637313897,419624675,138156031,46,408,20889600.00,420426762
11536438,18490904,5388466,678305430,419619399,122675168,34,396,23519232.00,420705168
10086515,16264967,4801882,703917386,419640520,121006077,28,416,25106841.60,420572871
9207984,13904216,4321402,724754757,419666232,120330776,26,415,26075136.00,420468327
8396177,12392116,4021304,738032488,419676139,120855431,26,431,26717622.86,420253689
8383167,12264446,3876322,747768851,419675532,122901208,22,387,27310080.00,420458928
7736636,10901991,3711402,735280980,419675357,127747478,20,406,27738112.00,420473304
7235640,9812008,3586386,725749283,419678352,131740920,24,425,28001894.40,420609183
7048415,9473104,3431895,731339049,419688185,131321108,38,433,28293678.55,420368505
6726411,8763578,3280483,732701701,419686116,131817796,35,402,28557312.00,420400884
6617748,8808498,3158136,739627064,419682960,130498116,32,382,28769043.69,420408510
6406222,8287723,3003446,750834394,419678144,127703271,30,376,28918930.29,420407508
6634240,8623491,3183131,757427675,419666729,124673600,28,384,29071769.60,420428895
6456071,8118510,3170768,751706801,419658941,127450334,34,389,29211648.00,420391344
6206999,7641710,3093063,728057229,419658827,134790614,32,402,29343744.00,420717136
6016122,7219258,3023072,714331044,419664855,138171574,30,387,29455701.33,420399578
5828273,6839781,2942369,701587534,419670401,141978449,29,383,29548112.84,420700850
5768011,6772126,2948960,694093509,419670697,143535928,30,378,29643571.20,420209980
6085484,7201900,3187857,702291476,419550043,139445429,94,382,29729938.29,420647154
5992643,6937466,3124203,712381599,419549730,137853007,92,386,29783877.82,420207477
5915140,6773239,3093867,719632617,419552488,136452781,88,373,29843812.17,420753069
5819733,6635685,3078889,725487774,419560333,135466006,86,359,29876224.00,420489426
5839884,6851381,3069565,724461435,419564942,136778843,85,359,29898178.56,420530470
5715919,6587950,3043343,721287484,419571804,137831125,87,362,29946801.23,420528444
5604198,6344018,3020902,718259547,419578439,138989012,86,360,30002744.89,420252461
5554360,6436592,3003895,719399382,419577944,138664928,83,348,30044160.00,420719013
5472314,6249646,2954307,719706380,419584217,138791740,80,351,30086108.69,420292662
5423580,6089938,2896544,721930990,419589088,138320523,77,356,30120345.60,420439518
5365675,5945582,2834422,727197533,419589318,136903372,81,360,30144445.94,420391965
5474811,6349944,2895888,725010855,419589429,137268254,79,353,30185472.00,420411309
5371795,6157910,2863221,712747480,419590150,141073281,78,356,30192733.09,420455799
5322244,6003223,2856431,708751668,419591645,141464658,76,356,30225588.71,420373326
5301945,5862668,2871857,711327266,419588621,140666921,75,349,30260779.89,420452946
5225545,5700058,2835467,704694654,419589934,142097471,75,344,30287189.33,420753543
5216755,5665216,2845466,701369692,419594826,142746338,74,342,30318813.41,420485747
5415516,6002136,2976103,706501992,419596614,140716090,72,339,30347479.58,420412621
5399319,5900142,2943407,711691587,419600473,139508265,73,339,30375936.00,420653430
5341969,5782561,2915840,716212622,419603895,138562256,71,342,30400512.00,420267726
5325809,5728194,2886685,721351592,419605228,137562916,70,351,30419093.85,420700962
5360706,5918334,2897863,721685137,419607114,138263008,69,351,30443812.57,420197028
5296510,5780728,2885328,719315628,419607172,138997341,67,351,30465095.44,420509145
5235786,5649395,2872994,717225662,419609672,139776612,65,347,30487645.09,420659256
5196110,5531101,2851872,718426528,419611631,139532310,65,347,30508100.27,420285417
